H3_V_avg,H5_V_avg,H7_V_avg,H3_I_avg,H5_I_avg,H7_I_avg,U_THD,I_TDD
1.2148241099987829,1.567665681037387,1.7214706958348793,0.9025765268048503,2.8723387564162977,2.91183626452405,2.626182526473545,2.011327104010223
1.0048958139954558,1.4332149293581853,1.9671609132076318,0.7766368401349002,1.7826335984971646,2.797504408516282,2.6331810969192113,1.6359909379274624
1.4739209301955505,1.5751750826472628,0.4632756375620509,3.700624658189857,1.6007097946324436,3.025060735105646,2.2064097003548215,2.420502772825994
1.3981797682953638,1.4878013853259655,1.463883174310255,1.9685615185756398,3.7992091660676435,2.7651824562297893,2.5122526892565977,2.446446163801499
1.7880345816519703,1.5160302655489384,1.2251183387658902,2.563440109456946,1.1332139567022705,1.382292148701425,2.6450577262555566,1.5006609221872378
1.4211599610123318,0.9468624891895074,2.0449018962600882,2.6961754449789157,2.6525863094546387,4.028821794365695,2.6641824212217204,2.653593284481191
0.7095862614439304,0.28632450931650744,0.46510411224370485,2.00274659420732,0.5396718723661392,0.9746644058422032,0.8954419145267423,1.100505872263006
0.8577700510264338,0.8313567789376651,1.5824798068037214,1.827223147940404,0.5536750848916273,4.0014425457793905,1.982716796031406,2.129012409042229
1.352304477935848,2.2278831670405133,0.8915336545347092,3.570622502165323,3.5265438598050216,4.000745046825081,2.754455130183795,3.0819584986709483
1.203219881489457,0.9395599407525455,1.671391075270672,2.162505670798054,-0.012537577859310867,2.199520396434732,2.2636384631766804,1.4812002964346447
1.271501055755868,1.518691490765163,0.8043431790656834,2.2496916829482996,2.699060458805515,4.4047550732120255,2.1377807952688435,2.705695131314281
-0.3862756593141784,1.5730648933977742,1.3891036960494314,0.6219232186842041,0.4581665313743145,1.083049235921265,2.1338582713473135,0.6388092863004035
1.614493478250345,0.2925941087894492,1.6885142494673968,4.4599253018437075,0.7835117910787431,3.1024597735175017,2.3544173110274302,2.635854653128006
1.7792241589823037,1.3155557399835895,1.5531546150701545,0.8491596606307265,0.8271762926870276,0.9253011865848579,2.7034449820966904,0.7221330258283782
0.9460019728435056,0.00035745978758036645,0.8467606864887797,3.316329920362109,3.1351930814376927,2.601517703649609,1.2696155010806436,2.5225480759770917
0.5544783532551476,0.9151848044243376,0.9671186639770114,1.4452219524899013,2.433776399592811,1.4271185584620951,1.4423342125493774,1.5222084166227863
1.4004073538214998,-0.009094112218698887,1.9495793966213086,1.6844626992658833,2.088851541484635,2.406793533748175,2.400433978105769,1.7309408168645528
0.824356225178421,0.3919753106510268,0.4675731464659288,0.2824647472565831,0.8536834016954454,3.8478466811825887,1.0255888442482364,1.8975147109761306
0.7802227284391231,0.21941968491122146,0.9065296579866648,3.6120762565434936,2.387800701144544,-0.38349225328843817,1.2160133736554664,2.0873891154368103
1.2101501019925769,0.6103631129920297,1.6429632581836935,2.3605753306792128,0.8060519883220901,0.5210971747227315,2.12986728854066,1.2236672537156088
1.5358797871197711,0.6363908635778945,1.435873871304625,3.5879330945556602,2.328387988790235,1.8845363147962784,2.1967370862312636,2.244443005840977
0.4976010393741134,0.8767793500363048,2.313565442926047,0.8697186380491089,3.352284957115473,0.6808866720448022,2.5236746782693444,1.6948939776372034
1.6957337868118414,1.2589927878237264,1.3817908131275294,3.0714471862351296,1.9910142514094586,2.603672935693635,2.5238703942102543,2.1569993684356903
1.4629248239586592,1.2655554899104984,1.0333963842628264,3.768212201672761,4.094638469957112,4.125450399463511,2.193100049155204,3.3263908817404513
0.0958274654889548,0.7797333484074922,1.5692722924124047,3.6523723641243846,3.3130665620057838,1.3477649593011964,1.7549309175845298,2.4547851409316404
1.5337389894689928,0.7938519620272666,0.6518536500524932,4.068377623216946,1.9048926151744783,1.1514732558897065,1.8459332074911772,2.2269126337663803
1.2441606795873255,-0.32444808436882866,1.539014627733545,1.089690768746794,0.0891278108628944,2.9066455285091686,2.005434711093737,1.491244870839394
0.7147007592479023,1.8064188225207123,0.10051248063705727,2.046449578235234,3.316783094956589,1.4511596220160246,1.9452631946321453,1.9970087247606843
1.6752320500741371,0.8311189754576762,0.8875037959127383,1.2851282568207805,2.967481960131558,4.130005138300902,2.0699816812525014,2.518846469961427
1.363507976732971,0.9841366935086969,1.442913419717396,2.173653242218667,2.4967336829462887,1.2160688322104316,2.2157793597118873,1.6934947536750915
0.5368118351653215,0.20595182137148937,1.189099259589437,2.6739607482284384,2.4538424975242172,3.974519339535489,1.3208104134416647,2.5845334751608577
1.0539206653716398,1.8051548671598994,1.7712286217653355,0.3917304262179083,1.0466283116737465,3.308014897205759,2.739814536403733,1.676702626340516
0.9582376447778509,1.6509642011104457,1.1488104964263812,1.2214598150600544,0.5554885526048794,1.1691961547014715,2.2279290235366753,0.8546398405813045
1.7275197456700213,1.0567747485661927,0.32143584699219613,2.5575977020922194,0.6457337455336469,4.034584603830522,2.0504678355484014,2.314746326550407
-0.025431646754209558,0.9657611074996784,1.1503456973978707,3.7537043671062484,1.7925321552389548,3.2235021413177356,1.5022105408155775,2.5270716511989306
0.5787678603126651,0.8871244696999542,1.4214362260820057,1.9251539572835226,0.09528136174260793,3.9088227428070934,1.7726937145738348,2.0928192193715174
0.4149909475992266,2.1222576956655868,1.0459675630998335,3.437721459416195,-0.7602902346850838,3.2707838731442047,2.402133084668315,2.307654903435162
0.1029701244689833,-0.018550711467973546,0.21899062712075157,-0.027029570689642776,3.1425281161814107,2.176850062158446,0.24270119529138287,1.8357734320077879
0.9122861441580685,0.01614002532377852,1.3797011740666123,3.658597643142466,1.4164943985387592,3.543175477107766,1.6541166340258588,2.538517996418194
1.8521673228285442,0.1952961808579891,0.7723173563629506,1.4262684056141395,1.513468220874138,2.4561098648027873,2.016218859387797,1.5454133350088646
2.0060297563009826,1.307570029964504,1.5433676915620504,2.8301960184600983,2.528819485889495,2.4704253981388495,2.8488381136498306,2.1746146952456296
0.36575082119806424,0.18915566055482558,0.9416417796708452,2.8409169324459422,1.618231084714291,1.8443339302205646,1.0277367213195543,1.8025734225320198
1.6023053835264436,1.4225603454725648,1.1941245754528045,2.202129948337912,3.889435522602851,1.2617503289526186,2.4529561717016444,2.2301666099466484
1.8413480594625034,0.3303991255035179,0.41777701044779225,3.600086268059868,2.1534902231992774,4.080382266781141,1.9168369489026735,2.8101969930078905
1.259086293909858,-0.06518209918798727,1.1946188312673933,1.4673080125934883,2.253369956688294,3.578382117459427,1.7368538089271897,2.1494199031035253
1.0430076941161421,1.546434384730536,1.8174419201673804,1.3276770701604543,1.400208762906905,1.1661725575521624,2.6043078714783467,1.0826619469245093
0.13411954331745304,1.5595081414381928,2.047930934612622,-0.7695569472076286,2.2130482658450723,2.9821813551103107,2.5776102901825593,1.8211644377377667
0.10172102565517108,-0.008922768566800993,1.8081899126221945,2.577815631336784,1.7718743080953827,3.4971286600321547,1.8110708277060552,2.253079515653654
1.2239675725687702,1.555276372688975,1.6489151892425262,1.5049764523508227,2.142188905036274,1.0611459581427012,2.5760245564549997,1.3565056780367943
1.049109299962619,1.7992042829607608,0.77513785728881,1.686132656566205,2.805615783760367,1.5879285216956651,2.2222972512458115,1.74702994109421
0.6712195065098719,1.2581283747184857,0.3034743664215806,3.388025861291576,-0.19020945061774142,1.3248039076621323,1.457916089583387,1.7492699665285314
0.2832613368064934,0.02204377307658731,1.1029963916038759,2.030345567640502,0.18329734251687405,3.8305103532092852,1.1390012962029605,2.0836827612542748
0.9257389893841678,0.481063377551225,1.5899506057454686,1.4754220550055113,0.03214962259772988,0.5814332357861226,1.9016723109929838,0.7616823701965397
1.4766353675476134,0.8315214973638424,1.891671608730549,2.2502159334734215,3.432856982369534,3.778287815583242,2.539744373858894,2.6789529621067563
0.2523443050054394,0.3543810905396917,1.8310843317807268,0.5648520341861902,-0.1729343907352087,2.6951537578638343,1.8820556409664542,1.3249333422003093
1.6482369310172986,1.3992908807180187,1.5157771673225353,1.5596469278317917,2.274708635846952,1.57096215612698,2.6405075971498855,1.524185414053359
0.6654358431006563,0.5176157694814235,1.9446059855065971,1.4504599059008392,0.5747867312968191,2.462685880019359,2.1194865852293123,1.3999293840918854
1.3725969696885458,1.7674196999592948,1.6357056908306882,2.0231582281850176,3.279088750993086,2.089477687240444,2.771881661257977,2.1047574272134777
1.8505290433632597,0.6908904295837043,0.7698975313559209,3.0005249234242526,1.0868529549385353,1.6086608366533277,2.120030550442431,1.7161449796656587
0.8559323842622782,0.21085743100528836,1.539737747508882,3.745360572553127,2.9477244331955896,1.9063761875280658,1.7742247416104826,2.4650201839257866
0.49244186414498137,1.6781989408905527,1.4137472004787577,2.2969150824644644,4.167569277705969,0.7199645063447963,2.2488956893618433,2.311089960261046
1.2081095614206456,1.038221269222025,0.7386609992284374,2.0529022704696316,1.9427552998048148,0.21332426479183467,1.7558622349267983,1.3611092414142483
0.7108444912507601,0.8467457120818309,0.30470543414789336,2.535933236592792,2.1213376554352514,0.988186122346747,1.1467883820783042,1.6570376689043422
1.131726661483312,0.7550271305711729,-0.522529812138163,1.882763393856096,1.0261382728934132,2.6093530821867104,1.4573635815347679,1.6217994699912597
0.6518638220282054,0.5654644937077751,0.13033395733535674,4.356332538111457,2.991843827376092,3.7895831222162277,0.872733336448256,3.122760128201026
0.9903752109368493,1.0645121904777068,1.5615050922951204,1.2809054972357594,1.3682073323676245,0.663820009821471,2.1336183856016633,0.9547834578575551
1.0819675331702867,0.9102141524557017,0.22686794062385213,1.6524438625718516,2.8078191410499134,2.4938740585586934,1.431996022567156,1.970210987065283
0.9992677849001081,2.013748326275264,1.77265575572299,2.850422177399897,1.29328675052127,1.0232385468910103,2.8628703875330155,1.5813440252574782
0.4682292199224388,0.12710604777319645,-0.010730317827039232,3.1048988720140223,2.280729418886241,2.357715930827951,0.4852934055706578,2.1689347352448674
0.5485736430089536,1.6094048943035109,1.7539521349426141,2.157266806975827,2.2141327384451612,3.8777335264644903,2.4428395868910355,2.381371071910003
1.819852616634724,1.844612350042064,0.5153667350049362,0.9789395734371118,4.203575789605354,2.7187831494519608,2.641980533567499,2.4494932055915175
1.7382601240030129,0.7650598999216511,2.012776583008512,2.4656316963632747,0.7664719590039959,2.2744570079087456,2.7673334606213467,1.6523295722969467
0.7668561159045623,1.0305497516605397,1.0373666251849716,3.775301110153468,1.2464076779359403,2.3827036336290117,1.6511301003238628,2.2257476354275747
0.9557912203621248,1.8288638134968447,0.4691798121818596,2.5350608702513635,0.5935388828078381,2.3220960176927834,2.116225271892987,1.6752652583929963
-0.06696276192055453,1.8224822727124594,1.8631060025314476,1.1031612889158091,3.179777755948824,2.17197777797577,2.607122862947566,1.923521782354479
0.3692438042772584,1.0055687983860315,1.735161563873018,3.0401267455851513,2.7135147435065234,2.367041985604791,2.0391898509032766,2.262977031158292
1.5214324478186352,1.2235941661644283,0.5483327614859279,2.5746320661146176,3.7808604606260308,2.0814680275308803,2.0279566548784542,2.413264041320175
1.5158974439888142,1.2002000451165926,0.551819025943944,4.451343588852903,0.9740605175304188,0.8403807049214287,2.0107037191947037,2.2250112264465822
0.5920814431455432,1.3856586133139306,0.8438173579562699,3.186789328521265,3.098717002280715,0.27447882851525834,1.7270315461961585,2.1385314664378967
0.3704850092142868,0.14367751490711078,1.0626485501507532,2.9939492253705113,2.811948805878184,0.35023324354839236,1.1345150115709757,1.9795300783022218
1.5838943145734574,0.3573998144326903,0.6237792114357839,3.0103886961189024,3.350520808983575,1.3157578186796415,1.7394126398626901,2.253338820788244
0.7704673359291199,0.9720525121349453,1.165087551064314,1.651784937901016,1.9064134016240801,1.1562863228369094,1.70174469404979,1.3324813290590662
0.7206067125614968,1.5572837364885286,1.320155290868706,2.814149101984687,1.1490140391647343,1.569898481588869,2.1649980743938313,1.6428317865137727
0.7500139813428914,1.02079742665759,0.9330207446062319,2.3062254263337634,0.6217733188189287,2.4554893572304217,1.5732374481768925,1.6449678363905045
0.806504193622283,1.3486936432527663,1.6320647503038754,1.5662988596545695,-0.3213749683828101,1.5362200081647202,2.265625500135713,1.0647590929040969
0.5240332620712365,1.0043995980215503,1.7810576331972185,2.890560636827048,2.087174052422701,1.1739178085682074,2.1108282035809904,1.802488404927785
0.23339572815375936,1.498608138944781,0.7376433939008117,1.7639616768714128,2.862877141739055,2.7412806070080755,1.6865401556433428,2.0833250101245873
1.285763564478278,1.4264225974806566,0.7364782126137575,1.1817113688594731,0.40179771206743947,2.7407176094246215,2.0567619035751576,1.4461421154214917
1.2552468762746853,1.7798019932968723,1.3529821314064154,3.536547956357664,3.1477820653295012,0.5818941127374005,2.563961876402596,2.290620208226662
1.5004243580322347,1.3846515575583023,1.6311572235260428,2.0761690668364916,3.569760117650775,1.4761314042800786,2.613275163063826,2.105914030079136
0.8671206008171206,1.4651479179350397,1.266251494061584,2.7452740133236864,1.6258168234748807,2.2414028678994824,2.121779772738919,1.87238824201498
1.9951695452545384,1.3240507577964302,0.16463988305819666,2.411711305825828,1.33277437356249,0.3652085838257234,2.40019128709066,1.33474750433685
0.6161260240651956,0.7672042903871803,1.9089215171025524,3.2982976825057477,0.05165758936419734,2.2900949999647664,2.1476021650147388,1.9283428357135173
0.08630659421328121,1.9166691169415855,1.4771789012834236,0.8269088633850359,1.74513859382678,1.089457881191786,2.421389443777939,1.0647222275983401
0.40759263713324256,1.6416666074378157,0.7852499112107578,2.7970781169787022,0.8314185119534259,4.538016725583129,1.864890997049994,2.590784026265229
0.2848744606555641,1.0050668333010708,1.3230183665655462,2.8423025285241925,1.5617385007211497,1.0327545638944513,1.6857314127717402,1.6343914115353453
0.147924089122548,1.7173883517949586,1.012903794370286,0.8572048136074336,0.9825558932262328,3.5201241017852962,1.9993194801415464,1.8026016524886372
1.7549523645865153,1.4289164668825636,1.8475799990522932,2.993207793021629,1.876308141212208,1.081447594349127,2.9215085014755684,1.7740969846877819
1.6320023476621734,1.7755628579078588,0.31298232414067695,2.8696257140140213,2.46695102317478,2.211371032826809,2.431874392393914,2.1047164346775022
1.5017036533754546,1.4707808114492906,0.625500234204044,0.08794928376306715,-0.45645071208746685,0.8004216720594688,2.1930710432810736,0.4444779135404926
0.9547691372607443,1.4098260436936767,1.4561112288700286,2.4486664691172066,1.4398632370986542,3.108169091413049,2.2404136871979636,2.0219681643680265
0.3400251499890219,0.5026400978778415,-0.10416434737696728,4.0640387470595565,0.25171943293341004,1.389794719018366,0.6157226501308624,2.066045125644557
1.768286978905189,1.3788674450855032,1.17941692957615,1.5113843300456844,1.5837608299738775,4.019548169758152,2.5336018954549857,2.1978931156793777
0.7710879391315624,0.6100709115692433,1.7768152686861893,0.8585116168675434,0.6883774025468786,1.0221371021377181,2.0307229318775772,0.7212055840710737
0.09295334508166114,0.8337946220355299,1.8300009865542337,2.087146316600605,2.218116456787238,2.520688402646215,2.013146146430187,1.8984626321237894
1.452091633606286,1.3597067088842547,0.09817037951564848,1.0495570910411447,2.0158295772136974,1.7038711028309332,1.9917353915589464,1.3639949117832686
0.4091714042587339,1.646946346926355,2.038050304261152,4.1662038863812025,2.2631225040736282,1.916430708907108,2.6520751404166707,2.455676455674226
1.4429150015634287,0.11846429793221014,0.327883497875602,1.0818567661854472,1.3616668144995434,3.460404112940648,1.4844342625392681,1.8597377070042058
1.267255332387541,0.4169285609382621,0.43196787007267823,1.0265549644871819,2.5769337015276825,2.1958306744638048,1.4022702104679516,1.6988513615440288
1.225644227302833,1.4123907078220659,0.49694398203264384,3.2266618326523275,0.5615616737863138,0.5359810050228312,1.9349430494826805,1.5936513931140168
1.4084726984014266,0.5582562947018535,1.458068740317122,1.2283897373766837,0.8540740813660588,3.575244335656892,2.102714884192909,1.8610892621031316
2.030719680490973,0.20695850177596542,1.8793387957645602,0.21909421131218726,2.670709772671629,4.269750674646415,2.7746294439900434,2.4206731320194246
1.4973300469074502,1.8209803048708493,0.49467997488023624,2.287256136476303,2.376388961280306,3.600217759086092,2.408874180534739,2.3446470058408537
0.7871565293052964,1.8766083410139258,0.5670466167749308,1.4230887998500448,3.2631081696859274,0.642327032522464,2.112537841740804,1.737075935426216
1.691498657894425,1.5848061149393666,1.3267795907226612,0.8552657277031048,0.10121812638630782,3.1195816713893683,2.670790559734335,1.5540590798986453
1.4230357896784838,1.0741223950794418,0.4087256897304615,1.5723114590161273,1.7048622954591313,3.3519402890346846,1.8291600443270961,1.9573176812896158
1.5872595784081651,0.5461679874071669,1.4339393989899047,2.9799974822788955,0.28339079734910333,2.669057649936628,2.207685357946732,1.9258655125031592
1.4044962224089077,1.9670240309451188,0.2044293790632529,3.3640489032719687,0.4947069400105342,0.7027464507349009,2.425610139346524,1.6672946134392792
1.903483819851247,1.3736658450548875,1.5228011392653797,4.4560557450062035,1.7572675941011373,3.0252120589139295,2.7980585798109714,2.7205016782796223
1.638170651561083,2.272008893345902,0.5065926800900582,0.6668535592029543,1.1052990562671168,2.870117846948136,2.846447547136564,1.5112129358456272
0.9609908338521559,0.7797794782915306,-0.1008368459661138,2.168468339308331,1.2353430477067864,2.9868816754077097,1.2416631938721818,1.8690658743842656
0.9390426628762485,0.4572587037205519,1.4512818794659221,3.0350571097862944,1.6109676495791847,1.482284557349062,1.7880452283138852,1.7969942038177442
1.0986652655460576,1.391408888655483,0.5842826756265747,1.7580637722979662,-0.012868406445576797,2.611551618608698,1.8666735939055399,1.5117621143029423
0.09147808019628645,1.8056186119354867,0.6478887007940927,1.1177667892440557,1.8764683492973635,2.1773741961076865,1.9205172687432126,1.4809680454628733
1.8744221000011954,1.4141070228079686,0.4537050711766441,2.237338251662044,0.340354539015976,3.2068022511606955,2.3914441604476386,1.8847494733438197
1.1912975565666266,1.3556832701179433,0.945429995584493,0.8037248345489334,-0.3117853958340746,0.06632794145816334,2.0373769591585624,0.4151939888876192
1.2492390126382182,2.050772929318179,0.21156994855523703,2.8018446963975694,3.361937901614666,3.7493378804609674,2.410607716210425,2.7673174453872846
1.558343210586964,1.0529835970673698,1.7721319934047082,3.6242313417016385,1.9576792484302938,2.4505911434185643,2.5841168355405233,2.30159956078087
1.5740668468083874,0.33039803573188,0.9953837149492787,1.6945803720905641,0.7741096108663489,1.2349659049190103,1.8914645225916902,1.0733269896637136
0.7047582275028885,1.5844007936938038,2.325442306646375,2.599992287147125,3.3131169849489357,0.08499618723639273,2.9008088451036174,2.022768569047668
1.1257005370920015,0.8660492400712377,0.36049252867387094,2.53738882417396,0.22968071274432947,3.581365112963833,1.465331992644285,2.110542969952634
1.5487349073735366,0.7606866574865416,2.142307686045503,2.234250100777454,2.2282649636267537,1.1106144552964992,2.7507646620321777,1.606371932401514
0.9811867368753887,0.4308727731166983,1.884315676041006,4.318317637373877,3.1558404827628403,1.2762108829524093,2.1677233048079083,2.6404797104554087
0.02299686499304067,1.8445113008625729,1.0691060396361833,3.287983554032383,2.2260079259536165,1.7119442824203424,2.1320737601677417,2.0763654440797494
0.7075170265246572,1.7566920623414122,0.40496974826063337,1.3972941355837407,0.9811958891889117,1.2687313516170937,1.9366331200622118,1.0214654147178144
0.9363590003823689,0.5872392229107105,2.1587340465823184,3.642435017844532,1.7978531054904816,2.4872378386650738,2.4252321056747363,2.2871776386141183
1.2792624098678178,0.2312199044709798,1.4469028635246532,1.6934431861413568,3.8584266271471312,1.3003139760339952,1.9451228377663523,2.1175647467285073
0.2879629156290559,1.4549347289395498,1.4952101296256373,0.993835600413595,2.5856198243129183,3.2190423963172385,2.1060415565669883,2.039312931430763
0.4542510767384325,0.6624567011905573,0.6549116231481291,0.6330951265899477,0.035793362095649955,1.9969285519944515,1.0363889983036378,1.0061074857032941
1.0942977953772925,0.2459952120029538,0.5785111192282056,1.2631028594036333,3.184528901515165,1.1333482058915083,1.2620128463556353,1.732788942150793
0.5256871959388871,1.4253563860791925,0.1872061153209633,2.806001302302139,1.8414016382063598,3.14300266295277,1.5306972218320618,2.2080213499922627
1.5705719557676738,1.5933958167395281,0.6178261444490686,4.07717114964311,0.002029489993401648,0.5495513215729478,2.3210591637896107,1.9755587514727513
1.1146672152652044,2.311161532127405,1.098235469743021,2.516461935334395,2.606154934998654,1.708747866641106,2.7910700054592423,1.923462118181429
0.30567220617102264,2.2478663058676993,1.3701621829756816,3.826379308458062,2.116963397533671,3.291840789280517,2.6502231668932037,2.6283575608327796
1.7112147854492068,1.3794186647927256,0.7282901874570717,4.136236882001855,3.8445684080512113,2.0452881605232878,2.315482345401229,2.884088743955128
1.457772051693983,1.7777312794284268,1.7070923879254296,3.485938406045122,2.981368432297665,0.7106182307881092,2.863493020328714,2.228936044017155
0.4532200445801077,0.05262464154242081,1.448165029337922,1.4566456706634,2.3724258551273003,3.762427464375822,1.5183411059126233,2.247520479758975
1.7431825872712357,1.3300339127645577,1.2412831654550371,3.3965551009463333,2.5292900036234487,3.1830006178634687,2.519614978228125,2.5439397961751853
0.6931824844125551,1.6864565013511756,2.0655814623578017,1.181739212801909,1.8462726023253169,3.842916509517993,2.755224902849531,2.124479966796062
1.6673106084771556,0.09856672346456546,1.0483120608363992,0.6992691103113775,3.9352645804411925,1.1559718220496575,1.97195290030215,1.997971800208219
0.4044515365212759,1.7867135807488597,1.8104493522075589,0.3343825424409095,1.1262596598154562,2.101398373899461,2.5755879565519795,1.1560883581924752
1.2780835399012036,1.2536306035129499,0.5970309284956018,0.9869658218747611,1.5852541375563396,2.9602061967069613,1.8872024678372363,1.6806934930864195
1.646019166913856,0.9110921135380659,0.5694762818522077,-0.5369744308170388,1.512270802919303,0.865593160979485,1.9656477743459684,0.875564485687003
0.4312270841178083,0.37467455699174285,0.542016784720309,0.9751029822182317,0.5328857812430592,1.7610759665590348,0.7874769943638023,0.9999425330761607
-0.0615814611631044,1.2070855130256528,0.6570201535234832,3.1460867097629426,2.5030864909362687,1.956516738243868,1.375690079287994,2.147046283365069
1.0908456560183772,1.1124248028004624,2.0523401722605406,2.3220659773169934,1.2893480970013034,1.3733664226558262,2.5767291999382156,1.4358308722055613
0.8468694116203631,1.6944808995546947,1.6815652055166788,0.6369708328714616,1.9450485826326696,1.14211043583849,2.533005104554323,1.1254868395053568
1.273909158025597,1.7729457534240007,0.33968200946094484,1.3868826542668122,2.7186934921290664,0.3846141508650781,2.209426408604077,1.4771617744740755
0.4593886062139837,1.7272307502341018,1.7009183934851895,-0.21220154998623458,0.9571854762024137,2.404468230052666,2.4672833921886075,1.246919048369498
0.7701499467395605,1.200012492186907,1.5233348652148286,1.466971051099442,1.9390305206215277,4.215486477111022,2.0865545843439275,2.3368565441991014
0.19086178107405802,2.1272885369690764,0.25967745215883775,3.58048529786697,0.6174987702038378,3.599723638154097,2.1515615534198647,2.456028795721771
0.6691921854814069,1.07880492142278,1.5529028059212564,1.941172111384661,1.1162704833100061,2.0633639280480454,2.0057779947525356,1.4621789168897623
1.441569910441507,1.8953244610512472,1.5339350233695306,-0.15347074502193658,2.5232038368458922,1.9354720672122077,2.8325492538117,1.5288261456242684
1.0377084938484546,0.33427853269932295,1.4826763398683152,1.0645954948251661,0.5761091076560073,0.5733953994631966,1.8403559939408853,0.6431885195368918
0.9356073304584258,0.7104733981448252,0.5822142622206786,3.327066157036256,1.0207709341010789,0.662375099433031,1.3111471974618893,1.7011578457192003
1.1798559893571672,0.9364564251827011,0.3429941546421107,3.8342033339819808,2.7096653819103214,0.8271410035811654,1.5448805073553749,2.289273876820356
1.4159610127812616,0.6876149405266688,1.853114003283657,1.2123260585146056,-0.34029328692920685,0.6880860903618076,2.4314175711543284,0.6890474162819874
1.5416162876202955,1.4666837508757156,1.9616629197227544,3.498342629858102,1.8385803964369818,0.6836313441551044,2.8941083970636345,1.9259593077192623
1.5857931134662233,0.7369813394648037,0.8703980970542146,-0.16547404905791097,2.0773721027293655,1.3542102659765125,1.9533238699181026,1.1934412309597475
1.0213441538760741,0.27156191777548666,0.6402613974207108,2.4415048067967655,1.8586962690186941,3.1613276013502283,1.235647365905765,2.115585614382631
1.4374251555844895,1.1896855557516606,1.2006862181185058,2.0583004096989854,1.6222247158355252,2.897296039007233,2.218826309978082,1.8760080033356714
0.7894111530201677,1.6396832212900125,0.4781569531099491,1.7865979011111615,4.288063157550198,4.239736418520312,1.8815857956787443,3.0200964265539096
1.5102470556422023,0.8451732230533937,1.1758084747279731,2.289548478084551,1.675364198928176,0.9188161361168473,2.0922928846804707,1.4320161280596293
1.782553525545253,0.15493461545482634,0.020669187446077916,1.5426967582997984,1.5997580238714482,2.575995586873789,1.7893934787546384,1.6337281326968405
1.3087634375396748,0.47529804939901465,1.961755380747346,3.3955528781967903,0.13827325162312276,2.9740415444686255,2.405671246262535,2.168555892500981
1.7125172708142709,0.5635745432772834,1.940068732248797,4.078050413570079,3.4339085568556635,2.3055623503968983,2.6484331886073345,2.789201894150781
0.3692491357201168,1.498162814947505,1.2559438920843915,1.042049244649896,1.2964911549207605,1.2473154674908977,1.9895305487439932,0.998369747620981
1.0629656167292951,1.0417677640676115,2.048740304760606,1.8498706615099383,0.7248080782110716,0.771865772636543,2.5322939823309816,1.023527714767136
1.117729957914854,1.8731910043575781,0.5663899959280818,-0.30296590352084796,2.793465136736624,2.096745586385476,2.2536553474553083,1.6835465410431387
0.2713011727592831,1.2351189881483624,1.5968372201261798,2.8652186505874067,0.36190581131370964,1.5988584996851423,2.036912454870239,1.5851517444957273
1.768668926455819,1.6230356835024944,1.4504394896754647,1.9718293558073428,1.5482328520782325,3.2241018577796705,2.8046763297291206,1.9611866350509999
1.685086465296449,1.6239807470914522,1.405062853531004,0.7954073572145737,2.7733939143958652,0.9844664465433398,2.7296577596507734,1.4639032736994833
1.7319014860225503,1.4790448008751882,0.3141505625132399,2.245807581920816,-0.5209112845192094,2.084009509056226,2.2990752176060765,1.492337544219976
1.3086121569026878,1.2922153891423005,0.7196480629322994,2.237311951136117,0.8874809197419952,1.217251301013445,1.9748872685831722,1.2951929168617897
0.12029002611226865,1.0120832476992745,1.1892529568275523,0.42266625214259024,3.0213280353971665,1.6059187972699447,1.566239057736295,1.6555412046086853
0.10230879612434465,1.2785659284363753,1.7758817747363562,2.6311563496836774,1.592888334314906,2.9593059442830367,2.190651501486152,2.0495989969216404
0.28179275789704833,1.4408561970120213,1.213570516275709,3.2600841302088295,1.4150416274247697,1.2622867408020229,1.904790575586949,1.811048288549288
0.764252027943315,1.110246262940331,1.2939321112147966,2.6794391377490636,3.339920773754862,2.7260267739852506,1.8684186455452698,2.437486227633243
0.7463583249682706,1.538541603443183,0.6441761981721349,0.9697008380398409,1.6039242823265016,3.6211237651649535,1.827327006604584,1.9579777564560799
0.2685004201927222,0.6182512403682947,1.2918269596266159,0.4367791865682207,3.210851262290825,0.9117592192942248,1.4571012200525912,1.6164706456612037
1.504757496715516,1.1269568383729274,0.49794236451109597,1.3268931906400114,0.7558708650229304,1.1311105023733703,1.9448067867662204,0.9125547738404569
1.5027691524851539,1.922983586974689,0.7638287613440682,0.3788759477736426,4.04822338699302,0.5680586209935571,2.557267169869312,1.9714116327165796
1.5243178085662152,1.0923056140428764,0.4692198080911406,1.2492113925835346,3.480951004695067,3.628336405721834,1.9330917112974182,2.487893415478578
1.6266028891476891,0.7841788822973688,1.8436608479640026,2.1904886995475774,0.3084384271499541,3.9887470841044532,2.580670223166863,2.1902277931015695
1.009528178188689,1.5118997219748669,1.9069619430590574,3.6490266626188563,0.6910551766219196,1.4730746934145682,2.634671092212504,1.9185681511788932
0.9448188814764485,1.0652509033150286,1.5192579423148704,2.977747046013123,1.8335832647301538,2.790731710395211,2.0822072185771296,2.1484381143546702
1.4658232863350193,0.8739018273812033,1.1187373659632076,1.1859884874426616,2.261749859767315,0.5624281267411912,2.0405674712355135,1.255737216572176
1.571939132590027,0.5248585486730422,0.9212764896136558,0.9184842442497714,2.8922761843811906,2.19472433287971,1.8961064060326147,1.7983881085539841
